order_id,customer_id,order_date,channel
1001,6,2025-08-01,Search
1002,10,2025-08-02,Email
1003,8,2025-08-03,Email
1004,8,2025-08-04,Paid Social
1005,8,2025-08-05,Direct
1006,8,2025-08-06,Email
1007,6,2025-08-07,Direct
1008,2,2025-08-08,Direct
1009,9,2025-08-09,Search
1010,5,2025-08-10,Paid Social
1011,6,2025-08-11,Email
1012,4,2025-08-12,Direct
1013,2,2025-08-13,Paid Social
1014,10,2025-08-14,Search
1015,8,2025-08-15,Email
1016,7,2025-08-16,Direct
1017,5,2025-08-17,Search
1018,9,2025-08-18,Direct
1019,6,2025-08-19,Paid Social
1020,5,2025-08-20,Direct
