date,channel,campaign,region,sales_rep,spend,impressions,clicks,conversions,revenue
2023-04-13,Facebook Ads,Campaign B,Europe,Alice,300.76,5249,74,283,31134.08
2023-12-15,Google Ads,Campaign A,Europe,Alice,1317.57,48717,1622,369,40595.32
2023-09-28,Email,Campaign B,North America,Diana,510.47,35518,2098,73,8031.05
2023-04-17,LinkedIn,Campaign C,APAC,Bob,1277.22,19351,1622,355,39055.12
2023-03-13,Email,Campaign E,APAC,Carlos,1335.38,5088,190,258,28383.72
2023-07-08,Email,Campaign A,North America,Eva,388.85,16282,1817,185,20352.67
2023-01-21,Facebook Ads,Campaign A,APAC,Eva,216.56,20330,697,322,35424.64
2023-04-13,LinkedIn,Campaign A,North America,Alice,1583.45,43409,2285,173,19032.49
2023-05-02,Email,Campaign A,North America,Diana,973.62,22778,250,317,34874.57
2023-08-03,Google Ads,Campaign A,North America,Diana,210.51,25264,306,253,27833.65
2023-11-27,Google Ads,Campaign B,Europe,Eva,1990.25,6075,596,192,21122.77
2023-03-29,Organic,Campaign E,APAC,Carlos,209.78,11412,2291,58,6380.84
2023-04-10,LinkedIn,Campaign C,North America,Bob,1420.57,49454,2800,330,36304.76
2023-12-26,LinkedIn,Campaign C,APAC,Carlos,1968.99,29365,851,361,39715.21
2023-06-01,Organic,Campaign C,Europe,Frank,554.44,8230,991,317,34874.57
2023-05-11,Email,Campaign C,North America,Frank,370.27,49200,463,142,15622.05
2023-05-30,LinkedIn,Campaign B,LATAM,Bob,330.63,12002,2064,172,18922.48
2023-11-05,Google Ads,Campaign D,Europe,Eva,676.22,14947,1431,395,43455.7
2023-09-15,Google Ads,Campaign E,LATAM,Bob,291.99,14686,1148,107,11771.54
2023-12-10,Facebook Ads,Campaign A,APAC,Diana,1415.11,30304,959,426,46866.14
2023-10-21,LinkedIn,Campaign D,APAC,Frank,218.35,14074,237,89,9791.28
2023-07-11,Email,Campaign C,Europe,Alice,1067.9,5493,2065,321,35314.63
2023-10-04,Organic,Campaign D,APAC,Alice,1993.72,35228,1363,216,23763.11
2023-06-10,Organic,Campaign E,LATAM,Eva,1646.54,15140,2142,7,770.1
2023-11-10,Email,Campaign A,North America,Diana,1268.92,32655,2180,388,42685.6
2023-01-22,Facebook Ads,Campaign A,North America,Carlos,681.88,44472,1196,183,20132.64
2023-09-10,Organic,Campaign E,North America,Diana,1285.4,7816,407,346,38064.99
2023-08-24,LinkedIn,Campaign E,Europe,Alice,1101.38,12639,1601,307,33774.43
2023-12-11,Facebook Ads,Campaign C,APAC,Alice,909.56,48192,1139,456,50166.58
2023-02-18,LinkedIn,Campaign A,LATAM,Frank,348.35,47733,1730,480,52806.92
