Campaign,Channel,Date,Region,Sales Rep,AVG Deal Size,Clicks,Conversion Rate,Conversions,CPC,CTR,Impressions,Revenue,ROAS,Spend
Campaign B,Facebook Ads,4/13/2023,Europe,Alice,110.014416961,74,3.824324324,283,4.064324324,0.014097923,5249,31134.08,103.518021013,300.76
Campaign A,Google Ads,12/15/2023,Europe,Alice,110.014417344,1622,0.227496917,369,0.812311961,0.033294333,48717,40595.32,30.810750093,1317.57
Campaign B,Email,9/28/2023,North America,Diana,110.014383562,2098,0.034795043,73,0.243312679,0.059068641,35518,8031.05,15.732658139,510.47
Campaign C,LinkedIn,4/17/2023,APAC,Bob,110.014422535,1622,0.218865598,355,0.787435265,0.083819958,19351,39055.12,30.578224582,1277.22
Campaign E,Email,3/13/2023,APAC,Carlos,110.014418605,190,1.357894737,258,7.028315789,0.037342767,5088,28383.72,21.255163324,1335.38
Campaign A,Email,7/8/2023,North America,Eva,110.014432432,1817,0.101816181,185,0.214006604,0.111595627,16282,20352.67,52.340671210,388.85
Campaign A,Facebook Ads,1/21/2023,APAC,Eva,110.014409938,697,0.461979914,322,0.310703013,0.034284309,20330,35424.64,163.578869597,216.56
Campaign A,LinkedIn,4/13/2023,North America,Alice,110.014393064,2285,0.075711160,173,0.692975930,0.052638854,43409,19032.49,12.019634343,1583.45
Campaign A,Email,5/2/2023,North America,Diana,110.014416404,250,1.268,317,3.89448,0.010975503,22778,34874.57,35.819488096,973.62
Campaign A,Google Ads,8/3/2023,North America,Diana,110.014426877,306,0.826797386,253,0.687941176,0.012112096,25264,27833.65,132.220084557,210.51
Campaign B,Google Ads,11/27/2023,Europe,Eva,110.014427083,596,0.322147651,192,3.339345638,0.098106996,6075,21122.77,10.613123979,1990.25
Campaign E,Organic,3/29/2023,APAC,Carlos,110.014482759,2291,0.025316456,58,0.091567001,0.200753593,11412,6380.84,30.416817618,209.78
Campaign C,LinkedIn,4/10/2023,North America,Bob,110.014424242,2800,0.117857143,330,0.507346429,0.056618272,49454,36304.76,25.556473810,1420.57
Campaign C,LinkedIn,12/26/2023,APAC,Carlos,110.014432133,851,0.424206816,361,2.313736780,0.028980078,29365,39715.21,20.170346218,1968.99
Campaign C,Organic,6/1/2023,Europe,Frank,110.014416404,991,0.319878910,317,0.559475277,0.120413123,8230,34874.57,62.900530265,554.44
Campaign C,Email,5/11/2023,North America,Frank,110.014436620,463,0.306695464,142,0.799719222,0.009410569,49200,15622.05,42.190968753,370.27
Campaign B,LinkedIn,5/30/2023,LATAM,Bob,110.014418605,2064,0.083333333,172,0.160188953,0.171971338,12002,18922.48,57.231588180,330.63
Campaign D,Google Ads,11/5/2023,Europe,Eva,110.014430380,1431,0.276030748,395,0.472550664,0.095738275,14947,43455.7,64.262665996,676.22
Campaign E,Google Ads,9/15/2023,LATAM,Bob,110.014392523,1148,0.093205575,107,0.254346690,0.078169685,14686,11771.54,40.314873797,291.99
Campaign A,Facebook Ads,12/10/2023,APAC,Diana,110.014413146,959,0.444212722,426,1.475610010,0.031645987,30304,46866.14,33.118372423,1415.11
Campaign D,LinkedIn,10/21/2023,APAC,Frank,110.014382022,237,0.375527426,89,0.921308017,0.016839562,14074,9791.28,44.842134188,218.35
